Uhrzeit,Sekunden,Formel,Temperatur,Luftfeuchte,Luftdruck
12:14:44,4109,4109,21.87,54.01,975.81
12:15:04,4129,4129,21.78,50.1,975.81
12:15:25,4150,4150,21.77,49.9,975.81
12:15:45,4170,4170,21.78,49.81,975.81
12:16:06,4191,4191,21.8,49.13,975.79
12:16:26,4211,4211,21.82,48.86,975.79
12:16:47,4232,4232,21.82,49.79,975.83
12:17:08,4253,4253,21.83,50.23,975.83
12:17:28,4273,4273,21.84,50.41,975.81
12:17:49,4294,4294,21.85,49.31,975.83
12:18:09,4314,4314,21.87,50.61,975.81
12:18:30,4335,4335,21.87,50.79,975.81
12:18:50,4355,4355,21.83,54.48,975.83
12:19:11,4376,4376,21.76,52.42,975.81
12:19:32,4397,4397,21.72,51.65,975.79
12:19:52,4417,4417,21.72,50.6,975.81
12:20:13,4438,4438,21.77,47.4,975.79
12:20:33,4458,4458,21.84,48.3,975.81
12:20:54,4479,4479,21.85,53.6,975.81
12:21:14,4499,4499,21.79,55.03,975.81
12:21:35,4520,4520,21.73,56.18,975.83
12:21:56,4541,4541,21.67,52.9,975.83
12:22:16,4561,4561,21.65,52.61,975.81
12:22:37,4582,4582,21.68,50.81,975.79
12:22:57,4602,4602,21.75,52.02,975.81
12:23:18,4623,4623,21.79,53.73,975.81
12:23:38,4643,4643,21.82,51.89,975.81
12:23:59,4664,4664,21.87,50.54,975.81
12:24:20,4685,4685,21.87,54.68,975.81
12:24:40,4705,4705,21.81,55.08,975.79
12:25:01,4726,4726,21.77,51.71,975.79
12:25:21,4746,4746,21.75,53.56,975.77
12:25:42,4767,4767,21.69,54.53,975.77
12:26:03,4788,4788,21.67,49.24,975.77
12:26:23,4808,4808,21.7,53.75,975.77
12:26:44,4829,4829,21.68,53.72,975.77
12:27:04,4849,4849,21.62,54.67,975.73
12:27:25,4870,4870,21.6,53.16,975.75
12:27:45,4890,4890,21.58,50.88,975.71
12:28:06,4911,4911,21.52,51.96,975.71
12:28:27,4932,4932,21.43,55.66,975.73
12:28:47,4952,4952,21.35,52.91,975.73
12:29:08,4973,4973,21.4,49.51,975.71
12:29:28,4993,4993,21.53,47.5,975.71
12:29:49,5014,5014,21.65,48.69,975.73
12:30:09,5034,5034,21.75,49.18,975.69
12:30:30,5055,5055,21.85,46.51,975.71
12:30:51,5076,5076,21.96,45.23,975.69
12:31:11,5096,5096,22.07,45.45,975.69
12:31:32,5117,5117,22.15,47.56,975.67
12:31:52,5137,5137,22.19,47.18,975.67
12:32:13,5158,5158,22.22,45.35,975.71
12:32:34,5179,5179,22.24,51.33,975.71
12:32:54,5199,5199,22.24,47.93,975.71
12:33:15,5220,5220,22.25,51.06,975.73
12:33:35,5240,5240,22.27,45.33,975.69
12:33:56,5261,5261,22.29,51.31,975.71
12:34:16,5281,5281,22.24,51.73,975.69
12:34:37,5302,5302,22.17,51.54,975.71
12:34:57,5322,5322,22.11,52.68,975.71
12:35:18,5343,5343,22.08,52.06,975.69
12:35:39,5364,5364,22.08,49.62,975.67
12:35:59,5384,5384,22.12,50.65,975.65
12:36:20,5405,5405,22.14,51.1,975.67
12:36:40,5425,5425,22.13,51.78,975.65
12:37:01,5446,5446,22.13,52.26,975.65
12:37:21,5466,5466,22.13,52.33,975.65
12:37:42,5487,5487,22.16,49.84,975.65
12:38:02,5507,5507,22.19,51.33,975.65
12:38:23,5528,5528,22.21,51.02,975.67
12:38:43,5548,5548,22.28,49.87,975.67
12:39:04,5569,5569,22.35,51.97,975.67
12:39:24,5589,5589,22.39,46.94,975.67
12:39:45,5610,5610,22.47,47.48,975.65
12:40:05,5630,5630,22.54,48.99,975.69
12:40:26,5651,5651,22.59,49.02,975.69
12:40:46,5671,5671,22.63,47.28,975.67
12:41:07,5692,5692,22.66,51.59,975.69
12:41:27,5712,5712,22.67,49.76,975.71
12:41:48,5733,5733,22.68,50.88,975.71
12:42:08,5753,5753,22.64,53.6,975.69
12:42:29,5774,5774,22.58,49.46,975.67
12:42:49,5794,5794,22.58,51.47,975.67
12:43:10,5815,5815,22.57,45.88,975.67
12:43:30,5835,5835,22.56,52.58,975.63
12:43:51,5856,5856,22.58,47.92,975.67
12:44:11,5876,5876,22.64,50.11,975.65
12:44:32,5897,5897,22.67,51.38,975.65
12:44:52,5917,5917,22.7,49.16,975.67
12:45:13,5938,5938,22.78,45.48,975.67
12:45:33,5958,5958,22.83,50.09,975.69
12:45:54,5979,5979,22.8,48.91,975.69
12:46:14,5999,5999,22.81,46.98,975.69
12:46:34,6019,6019,22.86,44.73,975.65
12:46:55,6040,6040,22.91,48.3,975.67
12:47:15,6060,6060,22.9,48.47,975.67
12:47:36,6081,6081,22.86,48.94,975.65
12:47:56,6101,6101,22.83,51.14,975.67
12:48:17,6122,6122,22.79,48.27,975.67
12:48:37,6142,6142,22.75,49.21,975.65
12:48:58,6163,6163,22.73,44.92,975.61
12:49:19,6184,6184,22.78,43.94,975.65
12:49:39,6204,6204,22.84,41.79,975.63
12:50:00,6225,6225,22.89,48.05,975.61
12:50:20,6245,6245,22.87,52.6,975.63
12:50:41,6266,6266,22.79,49.47,975.65
12:51:01,6286,6286,22.69,51.81,975.61
12:51:22,6307,6307,22.6,45.89,975.61
12:51:43,6328,6328,22.6,48.14,975.61
12:52:03,6348,6348,22.63,43.48,975.6
12:52:24,6369,6369,22.69,45.25,975.58
12:52:44,6389,6389,22.73,46.89,975.58
12:53:05,6410,6410,22.72,48.71,975.6
12:53:25,6430,6430,22.71,46.31,975.58
12:53:46,6451,6451,22.63,50.34,975.6
12:54:07,6472,6472,22.51,49.34,975.6
12:54:27,6492,6492,22.48,41.17,975.6
12:54:48,6513,6513,22.53,43.18,975.61
12:55:08,6533,6533,22.6,42.94,975.6
12:55:29,6554,6554,22.67,44.65,975.6
12:55:49,6574,6574,22.7,45.35,975.61
12:56:10,6595,6595,22.71,42.52,975.56
12:56:31,6616,6616,22.75,41.79,975.6
12:56:51,6636,6636,22.79,41.61,975.6
12:57:12,6657,6657,22.78,50.4,975.58
12:57:32,6677,6677,22.71,45.3,975.6
12:57:53,6698,6698,22.69,47.69,975.6
12:58:13,6718,6718,22.68,45.78,975.58
12:58:34,6739,6739,22.68,49.8,975.61
12:58:55,6760,6760,22.68,45.17,975.6
12:59:15,6780,6780,22.68,48.44,975.6
12:59:36,6801,6801,22.66,47.26,975.6
12:59:56,6821,6821,22.63,49.28,975.61
13:00:17,6842,6842,22.6,46,975.61
13:00:37,6862,6862,22.6,46.87,975.6
13:00:58,6883,6883,22.6,46.9,975.6
13:01:19,6904,6904,22.61,45.62,975.6
13:01:39,6924,6924,22.62,45.76,975.56
13:02:00,6945,6945,22.63,43.81,975.6
13:02:20,6965,6965,22.65,46.85,975.6
13:02:41,6986,6986,22.64,44.97,975.6
13:03:02,7007,7007,22.66,42.91,975.56
13:03:22,7027,7027,22.7,44.08,975.56
13:03:43,7048,7048,22.68,47.68,975.56
13:04:03,7068,7068,22.65,44.26,975.6
13:04:24,7089,7089,22.65,42.97,975.58
13:04:45,7110,7110,22.67,42.29,975.58
13:05:05,7130,7130,22.66,46.6,975.58
13:05:26,7151,7151,22.64,40.08,975.58
13:05:46,7171,7171,22.68,39.61,975.56
13:06:07,7192,7192,22.71,40.15,975.56
13:06:27,7212,7212,22.72,41.35,975.56
13:06:48,7233,7233,22.76,38.63,975.56
13:07:09,7254,7254,22.8,39.47,975.54
13:07:29,7274,7274,22.79,45.98,975.58
13:07:50,7295,7295,22.73,47.61,975.56
13:08:10,7315,7315,22.68,48.09,975.58
13:08:31,7336,7336,22.63,50.5,975.6
13:08:52,7357,7357,22.62,47.03,975.58
13:09:12,7377,7377,22.66,47.68,975.58
13:09:33,7398,7398,22.65,48.58,975.6
13:09:53,7418,7418,22.57,51.8,975.56
13:10:14,7439,7439,22.54,45.85,975.54
13:10:34,7459,7459,22.61,43.71,975.56
13:10:55,7480,7480,22.66,48.26,975.56
13:11:15,7500,7500,22.64,49.67,975.58
13:11:36,7521,7521,22.64,45.03,975.58
13:11:56,7541,7541,22.71,44.62,975.58
13:12:17,7562,7562,22.84,44.21,975.54
13:12:37,7582,7582,22.93,48.29,975.58
13:12:58,7603,7603,22.97,46.35,975.58
13:13:18,7623,7623,22.99,51.39,975.6
13:13:39,7644,7644,22.94,51.86,975.58
13:13:59,7664,7664,22.85,53,975.58
13:14:20,7685,7685,22.8,45.37,975.58
13:14:40,7705,7705,22.86,43.4,975.52
13:15:01,7726,7726,22.95,43.6,975.54
13:15:22,7747,7747,23.02,43.43,975.52
13:15:42,7767,7767,23.07,45.24,975.52
13:16:03,7788,7788,23.08,47.28,975.5
13:16:23,7808,7808,23.05,46.33,975.52
13:16:44,7829,7829,22.98,48.95,975.5
13:17:04,7849,7849,22.85,46.51,975.5
13:17:25,7870,7870,22.77,41.98,975.5
13:17:46,7891,7891,22.8,41.8,975.5
13:18:06,7911,7911,22.86,44.37,975.5
13:18:27,7932,7932,22.87,44.97,975.48
