Uhrzeit,Sekunde,Formel,Temperatur,Luftfeuchte,Luftdruck
18:28:37,1605,1605,26.51,35.06,976.14
18:28:58,1626,1626,26.5,35.04,976.1
18:29:18,1646,1646,26.49,35.1,976.12
18:29:39,1667,1667,26.48,35.1,976.12
18:30:00,1688,1688,26.47,35.1,976.12
18:30:20,1708,1708,26.47,35.1,976.1
18:30:41,1729,1729,26.33,36.26,976.18
18:31:02,1750,1750,26.01,38.59,976.18
18:31:22,1770,1770,25.73,38.94,976.22
18:31:43,1791,1791,25.5,40.58,976.22
18:32:03,1811,1811,25.27,44.81,976.18
18:32:24,1832,1832,25,48.31,976.2
18:32:44,1852,1852,24.7,51.99,976.22
18:33:05,1873,1873,24.4,51.58,976.24
18:33:25,1893,1893,24.16,52.43,976.24
18:33:46,1914,1914,24.06,49.55,976.22
18:34:07,1935,1935,24.04,50.96,976.2
18:34:27,1955,1955,23.98,55.53,976.24
18:34:48,1976,1976,23.91,53.67,976.24
18:35:08,1996,1996,23.88,52.46,976.22
18:35:29,2017,2017,23.89,51.1,976.2
18:35:49,2037,2037,23.89,54.84,976.2
18:36:10,2058,2058,23.88,53.09,976.22
18:36:30,2078,2078,23.9,52.91,976.22
18:36:51,2099,2099,23.86,54.79,976.2
18:37:11,2119,2119,23.77,51.44,976.18
18:37:32,2140,2140,23.76,49.11,976.18
18:37:53,2161,2161,23.82,51.6,976.16
18:38:13,2181,2181,23.89,49.38,976.18
18:38:34,2202,2202,23.91,54.81,976.2
18:38:54,2222,2222,23.84,56.63,976.18
18:39:15,2243,2243,23.75,55.03,976.2
18:39:35,2263,2263,23.69,57.98,976.16
18:39:56,2284,2284,23.62,56.03,976.18
18:40:16,2304,2304,23.58,57.99,976.2
18:40:37,2325,2325,23.53,56.62,976.22
18:40:58,2346,2346,23.52,55.8,976.18
18:41:18,2366,2366,23.53,57.45,976.22
18:41:39,2387,2387,23.55,55.63,976.18
18:41:59,2407,2407,23.6,56.03,976.18
18:42:20,2428,2428,23.62,55.65,976.18
18:42:40,2448,2448,23.64,54.9,976.16
18:43:01,2469,2469,23.66,54.84,976.16
18:43:22,2490,2490,23.65,58.76,976.16
18:43:42,2510,2510,23.61,56.68,976.16
18:44:03,2531,2531,23.56,59.52,976.2
18:44:23,2551,2551,23.5,55.65,976.2
18:44:44,2572,2572,23.48,56.09,976.16
18:45:05,2593,2593,23.45,58.81,976.18
18:45:25,2613,2613,23.44,54.32,976.16
18:45:46,2634,2634,23.49,53.46,976.18
18:46:06,2654,2654,23.55,52.11,976.16
18:46:27,2675,2675,23.62,53.39,976.16
18:46:47,2695,2695,23.66,55.74,976.14
18:47:08,2716,2716,23.65,56.02,976.14
18:47:29,2737,2737,23.62,56.65,976.16
18:47:49,2757,2757,23.58,58.43,976.18
18:48:10,2778,2778,23.55,54.77,976.2
18:48:30,2798,2798,23.55,54.04,976.18
18:48:51,2819,2819,23.58,52.85,976.16
18:49:12,2840,2840,23.64,52.84,976.16
18:49:32,2860,2860,23.69,51.7,976.16
18:49:53,2881,2881,23.74,51.87,976.14
18:50:13,2901,2901,23.77,51.84,976.14
18:50:34,2922,2922,23.81,51.27,976.14
18:50:54,2942,2942,23.84,52.05,976.14
18:51:15,2963,2963,23.85,52.1,976.16
18:51:36,2984,2984,23.85,51.79,976.14
18:51:56,3004,3004,23.87,51.91,976.16
18:52:17,3025,3025,23.86,56.96,976.14
18:52:37,3045,3045,23.83,53.22,976.16
18:52:58,3066,3066,23.81,52.45,976.16
18:53:18,3086,3086,23.81,53.48,976.14
18:53:39,3107,3107,23.82,53.25,976.14
18:53:59,3127,3127,23.84,52.16,976.14
18:54:20,3148,3148,23.87,51.69,976.16
18:54:40,3168,3168,23.88,53.19,976.18
18:55:01,3189,3189,23.88,53.7,976.18
18:55:22,3210,3210,23.87,52.9,976.18
18:55:42,3230,3230,23.88,53.62,976.18
18:56:03,3251,3251,23.87,52.62,976.18
18:56:23,3271,3271,23.88,53.85,976.18
18:56:44,3292,3292,23.88,52.78,976.18
18:57:04,3312,3312,23.91,52.38,976.18
18:57:25,3333,3333,23.93,52.97,976.18
18:57:45,3353,3353,23.94,53.71,976.18
18:58:06,3374,3374,23.95,52.18,976.18
18:58:27,3395,3395,23.97,51.87,976.14
18:58:47,3415,3415,23.99,53.24,976.14
18:59:08,3436,3436,23.97,55.66,976.18
18:59:28,3456,3456,23.93,52.93,976.18
18:59:49,3477,3477,23.9,53.17,976.16
19:00:10,3498,3498,23.9,53.66,976.18
19:00:30,3518,3518,23.91,52.74,976.16
19:00:51,3539,3539,23.92,52.27,976.16
19:01:11,3559,3559,23.95,53.62,976.16
19:01:32,3580,3580,23.97,55.07,976.2
19:01:52,3600,3600,23.96,54.88,976.16
19:02:13,3621,3621,23.94,53.95,976.16
19:02:34,3642,3642,23.93,54.15,976.14
19:02:54,3662,3662,23.94,53.84,976.16
19:03:15,3683,3683,23.94,54.01,976.18
19:03:35,3703,3703,23.95,54.34,976.16
19:03:56,3724,3724,23.95,53.99,976.18
19:04:17,3745,3745,23.94,53.65,976.18
19:04:37,3765,3765,23.94,53.47,976.16
19:04:58,3786,3786,23.93,54.46,976.16
19:05:18,3806,3806,23.9,56.01,976.18
19:05:39,3827,3827,23.88,54.89,976.18
19:06:00,3848,3848,23.87,54.43,976.14
19:06:20,3868,3868,23.85,53.96,976.16
19:06:41,3889,3889,23.85,54.83,976.2
19:07:01,3909,3909,23.87,55.39,976.2
19:07:22,3930,3930,23.89,55.02,976.2
19:07:42,3950,3950,23.91,54.53,976.2
19:08:03,3971,3971,23.93,55.47,976.2
19:08:23,3991,3991,23.94,55.32,976.18
19:08:44,4012,4012,23.97,54.03,976.18
19:09:04,4032,4032,24.01,54.61,976.16
19:09:25,4053,4053,24.04,54.16,976.18
19:09:45,4073,4073,24.09,53.24,976.16
19:10:06,4094,4094,24.14,52.88,976.16
19:10:26,4114,4114,24.21,52.84,976.18
19:10:47,4135,4135,24.26,53.02,976.18
19:11:07,4155,4155,24.3,52.65,976.18
19:11:28,4176,4176,24.34,52.89,976.18
19:11:48,4196,4196,24.38,53.77,976.16
19:12:08,4216,4216,24.39,54.3,976.16
19:12:29,4237,4237,24.4,52.43,976.18
19:12:49,4257,4257,24.42,52.12,976.18
19:13:10,4278,4278,24.44,52.01,976.18
19:13:30,4298,4298,24.46,52.8,976.18
19:13:51,4319,4319,24.47,54.7,976.2
19:14:11,4339,4339,24.47,52.77,976.18
19:14:32,4360,4360,24.38,59.88,976.16
19:14:52,4380,4380,24.09,63.38,976.22
19:15:13,4401,4401,23.8,61.97,976.18
19:15:33,4421,4421,23.59,62.94,976.22
19:15:54,4442,4442,23.47,61.87,976.22
19:16:14,4462,4462,23.39,60.51,976.24
19:16:35,4483,4483,23.35,61.5,976.24
19:16:55,4503,4503,23.33,62.3,976.22
19:17:16,4524,4524,23.28,65.06,976.2
19:17:36,4544,4544,23.19,63.67,976.2
19:17:57,4565,4565,23.13,62.48,976.22
19:18:17,4585,4585,23.16,62.31,976.24
19:18:38,4606,4606,23.21,64.24,976.26
19:18:58,4626,4626,23.21,66.15,976.24
19:19:19,4647,4647,23.19,61.15,976.24
19:19:39,4667,4667,23.22,59.58,976.26
19:20:00,4688,4688,23.34,55.38,976.22
19:20:20,4708,4708,23.4,63.55,976.24
19:20:41,4729,4729,23.3,64.19,976.22
19:21:02,4750,4750,23.21,63.4,976.24
19:21:22,4770,4770,23.17,61.28,976.24
19:21:43,4791,4791,23.15,62.18,976.26
19:22:03,4811,4811,23.14,60.88,976.26
19:22:24,4832,4832,23.19,51.26,976.22
19:22:44,4852,4852,23.33,47.08,976.18
19:23:05,4873,4873,23.51,44.12,976.16
19:23:26,4894,4894,23.67,42.65,976.14
19:23:46,4914,4914,23.78,42.09,976.12
19:24:07,4935,4935,23.87,41.79,976.14
19:24:27,4955,4955,23.95,41.49,976.1
19:24:48,4976,4976,24.04,41.54,976.14
